Date,Confirmed Cases ,Confirmed Deaths
9/4/2021,40040910,648464
9/5/2021,40088245,648860
9/6/2021,40168844,649459
9/7/2021,40423642,651538
9/8/2021,40606673,653817
9/9/2021,40766792,657101
9/10/2021,40995001,659531
9/11/2021,41068628,660323
9/12/2021,41111533,660659
9/13/2021,41356059,662814
9/14/2021,41502249,664741
9/15/2021,41672834,667507
9/16/2021,41828348,670968
9/17/2021,42037222,673414
9/18/2021,42101504,674378
9/19/2021,42143705,674725
9/20/2021,42332114,677010
9/21/2021,42453773,679365
9/22/2021,42586906,682211
9/23/2021,42713380,685478
9/24/2021,42890288,687962
9/25/2021,42944318,688752
9/26/2021,42993948,689301
9/27/2021,43158614,691605
9/28/2021,43269993,694165
9/29/2021,43393412,696778
9/30/2021,43503368,699576
10/1/2021,43656245,701712
10/2/2021,43701232,702505
10/3/2021,43743010,703004
10/4/2021,43894279,704963
10/5/2021,43991658,706870
10/6/2021,44102249,709501
10/7/2021,44202795,711980
10/8/2021,44329272,713814
10/9/2021,44362110,714236
10/10/2021,44399737,714704
10/11/2021,44500378,715806
10/12/2021,44606753,718158
10/13/2021,44728329,721383
10/14/2021,44814707,723524
10/15/2021,44924503,725350
10/16/2021,44960864,725876
10/17/2021,44992796,726328
10/18/2021,45094996,728072
10/19/2021,45175944,730209
10/20/2021,45267400,733412
10/21/2021,45346299,735400
10/22/2021,45441451,737296
10/23/2021,45471592,737835
10/24/2021,45489817,738078
10/25/2021,45604119,739492
10/26/2021,45672830,741109
10/27/2021,45773731,743185
10/28/2021,45851283,745027
10/29/2021,45944868,746763
10/30/2021,45977440,747125
10/31/2021,46009140,747358
11/1/2021,46123123,748608
11/2/2021,46194240,749893
11/3/2021,46278817,751860
11/4/2021,46360647,753067
11/5/2021,46456734,755190
11/6/2021,46490792,755651
11/7/2021,46526688,755837
11/8/2021,46637293,757051
11/9/2021,46717616,758537
11/10/2021,46812637,760219
11/11/2021,46869801,761077
11/12/2021,47014700,763567
11/13/2021,47057256,764122
11/14/2021,47088349,764312
11/15/2021,47225196,765581
11/16/2021,47313041,766921
11/17/2021,47424773,768604
11/18/2021,47535123,769930
11/19/2021,47660990,771735
11/20/2021,47704692,772181
11/21/2021,47743623,772378
11/22/2021,47891329,773612
11/23/2021,47984051,774985
11/24/2021,48095699,776730
11/25/2021,48130504,777195
11/26/2021,48182594,777561
11/27/2021,48208087,777869
11/28/2021,48250235,778086
11/29/2021,48443028,780002
11/30/2021,48560513,781523
12/1/2021,48699124,783554
12/2/2021,48837564,787440
12/3/2021,48991223,789062
12/4/2021,49054845,789740
12/5/2021,49104646,790049
12/6/2021,49284432,791391
12/7/2021,49397736,793075
12/8/2021,49548608,794886
12/9/2021,49670822,796387
12/10/2021,49841560,798229
12/11/2021,49896323,798788
12/12/2021,49946891,799070
12/13/2021,50134176,800435
12/14/2021,50250247,801912
12/15/2021,50394344,804145
12/16/2021,50536051,805339
12/17/2021,50728954,807132
12/18/2021,50805383,807701
12/19/2021,50892242,807905
12/20/2021,51134328,809389
12/21/2021,51313310,811266
12/22/2021,51554991,813312
12/23/2021,51824224,816699
12/24/2021,52043686,817294
12/25/2021,52100740,817410
12/26/2021,52283306,817512
12/27/2021,52827635,819289
12/28/2021,53182318,821584
12/29/2021,53679320,823781
12/30/2021,54269867,825193
12/31/2021,54742382,825776
1/1/2022,54858824,826043
1/2/2022,55106998,826287
1/3/2022,56278376,827975
1/4/2022,57077565,830132
1/5/2022,57700873,832118
1/6/2022,58487697,833988
